number,address,balance,perct_coins,first_in,last_in,ins,first_out,last_out,outs
278,18SN8PV997oDGtYmTPPD55GDaPtNNEGWeu,"6,104 BTC ($299,352,575)",0.03%,2019-06-09 16:39:23,2021-11-09 1:56:47,111,2019-06-10 14:48:46,2021-02-06 0:25:16,57
279,3JsY8m7nG2K2siHXzqto612u36hAzF7C6X,"6,097 BTC ($299,004,152)",0.03%,2021-03-01 12:59:18,2021-12-27 20:43:41,33,2021-08-17 17:13:57,2021-12-27 20:43:41,11
280,1JdTWTAubsDWXWd7wcsFwMuSapMBh6efrQ,"6,072 BTC ($297,773,239)",0.03%,2013-12-19 5:54:47,2021-10-10 22:54:55,34,,,
281,"bc1qww95hxxsm469pjt83qnxfqvfur38hdlpsfksrhtt2y6kjqst5mzszhv4z7
wallet: 74771965","6,050 BTC ($296,718,301)",0.03%,2021-01-13 15:53:42,2021-12-23 13:33:12,53,2021-02-04 14:29:24,2021-12-23 13:33:12,52
282,3JPauiFhP4K3AevmgNMFfMSN7pLZbuADJQ,"6,001 BTC ($294,315,590)",0.03%,2020-06-01 11:08:08,2021-06-22 7:21:13,32,2020-06-01 11:34:04,2021-02-10 5:15:06,5
283,1J3B2ucUpWjWPPpejUCoLN93Gwz3q65CTd,"6,000 BTC ($294,266,566)",0.03%,2019-07-24 20:35:27,2021-09-09 23:28:47,17,,,
284,"14m3sd9HCCFJW4LymahJCKMabAxTK4DAqW
wallet: 59995019","5,992 BTC ($293,874,157)",0.03%,2020-03-09 4:20:10,2021-12-17 12:33:24,732,2020-03-09 7:59:21,2021-12-27 2:14:29,724
285,138EMxwMtKuvCEUtm4qUfT2x344TSReyiT,"5,908 BTC ($289,733,018)",0.03%,2017-12-14 20:38:10,2021-09-09 23:28:47,25,,,
286,18oP9DDaxKrC3XTMC2kZK1wLDGwUcky2oR,"5,874 BTC ($288,102,236)",0.03%,2020-10-23 21:08:06,2021-12-24 16:28:25,74,2020-11-05 22:20:09,2021-12-24 16:28:25,73
287,35vGkkxF6wr4n9CLYi35ufZY4T5vP4wEqE,"5,867 BTC ($287,739,755)",0.03%,2020-12-31 23:34:48,2021-09-09 23:28:47,9,,,
288,"bc1qhm45cy7psm88yhu3564v7mchzxqzdx0hr5vk39
wallet: 56622962","5,863 BTC ($287,547,644)",0.03%,2020-08-20 22:08:22,2021-12-27 21:35:37,5869,2020-08-20 22:50:32,2021-12-27 21:35:37,5842
289,"3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys
wallet: 68880850","5,769 BTC ($282,926,792)",0.03%,2020-06-18 7:32:47,2021-12-28 6:56:25,2225,2020-06-18 8:33:58,2021-12-25 3:53:43,2122
290,13n67sFKgqLDKp8gx8Xvm6scdfY4ZeaU8p,"5,700 BTC ($279,557,273)",0.03%,2017-09-21 18:00:01,2021-05-01 21:12:03,45,2017-11-24 7:31:19,2019-10-24 8:13:57,8
291,3R2Hzkp1vKi5TNuLdUTiQphJQA6SKLa7zS,"5,650 BTC ($277,117,091)",0.03%,2020-08-18 1:30:29,2021-09-09 23:28:47,11,,,
292,3EXLwuu7efTpjqfFSCe37vYLr7NWRRF4eN,"5,632 BTC ($276,196,316) / +5632 BTC",0.03%,2021-12-17 20:47:56,2021-12-23 0:17:37,2,,,
293,"16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv
wallet: 45235552","5,625 BTC ($275,875,048)",0.03%,2018-10-01 19:09:24,2021-09-28 17:51:36,49,2018-11-19 18:24:51,2021-12-01 22:44:41,25
294,1DR93bfKVCUJkDvPuxbUAEtzYRaJEnwjNt,"5,600 BTC ($274,648,746)",0.03%,2017-10-06 20:06:13,2021-09-09 23:28:47,25,,,
295,1CCqLR8YrUMPFgYZWwLW8FkezbFjfeXD8n,"5,595 BTC ($274,419,366)",0.03%,2018-02-08 8:48:35,2021-09-09 23:28:47,22,,,
296,19GEVekmu7wAgPFNcQNFHE7SYoj2snindR,"5,555 BTC ($272,441,781) / +5555 BTC",0.03%,2021-12-01 18:42:23,2021-12-14 18:36:52,13,,,
297,bc1quv866t7ke929gxttpgc2u30ffnczpgfrjugwxv,"5,500 BTC ($269,744,327)",0.03%,2021-01-13 15:47:30,2021-09-09 23:28:47,9,,,
298,1Jf6iTPDMsLEmp8SbBAgBmFr9ajCLCpmXo,"5,417 BTC ($265,649,135) +5417 BTC / +5417 BTC",0.03%,2021-12-24 21:50:55,2021-12-24 22:27:38,3,,,
299,bc1qg5uwrqxs4pugdqruyk2jujvqykhjvkj4t672uqcleqerr49st5dsp6tpnt,"5,366 BTC ($263,156,903)",0.03%,2021-10-20 23:21:27,2021-10-20 23:21:27,1,,,
300,3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M 2-of-3,"5,285 BTC ($259,217,543)",0.03%,2019-05-12 23:41:50,2021-06-29 1:09:01,157,2019-05-12 23:59:33,2021-06-29 1:09:01,97
301,3H3b3kxRwoKDnJbdV2JdhJ5h7iPsHgFN4B,"5,256 BTC ($257,766,854)",0.03%,2021-08-31 15:01:14,2021-09-09 23:28:47,2,,,
302,34Knfd3NYNomfaCTzMbL5mAcYHuMFwWP7Y,"5,241 BTC ($257,025,257)",0.03%,2021-10-15 6:17:22,2021-10-29 15:31:11,4,,,
303,"1JehwyndFWmo4Q4DYRoATM32Dq18SpQycB
wallet: 75561360","5,228 BTC ($256,408,850)",0.03%,2021-04-13 16:18:25,2021-12-09 11:29:58,42,2021-04-20 5:58:11,2021-08-23 11:05:09,27
304,1DJBriyDMUJhpDezeyxmKJrZiUMbpBCddP,"5,227 BTC ($256,352,024)",0.03%,2021-09-15 3:59:10,2021-10-05 9:57:35,7,,,
305,19tiUa9nsPTgaqWNHaM9QyCfv4Wm9dVeYa,"5,225 BTC ($256,246,566)",0.03%,2020-12-21 16:53:02,2021-12-22 11:41:35,82,,,
306,3QhAtiUeg2HyxgvxJsXHUXs4mx4Uwz8wEG,"5,210 BTC ($255,512,811)",0.03%,2021-01-06 22:07:21,2021-09-09 23:28:47,12,,,
307,1BVtDi7txPCG2TH5Crd2Rw5MtpivbmoKgB,"5,186 BTC ($254,331,122)",0.03%,2017-06-12 22:43:56,2021-09-09 23:28:47,22,,,
308,"bc1qnr5uamqppeh7dknkfrhy0fx2er2p0s5n9cg9hh
wallet: 69007008","5,177 BTC ($253,883,362)",0.03%,2020-08-24 20:35:11,2021-12-07 22:17:39,52,2020-11-03 15:51:13,2021-12-07 22:17:39,51
309,18i8D9BACP5Wkha3UtUdr65uirSKJyT14N,"5,129 BTC ($251,565,920)",0.03%,2018-12-17 0:56:02,2021-12-22 19:39:27,213,2019-05-01 2:47:30,2021-12-07 17:25:24,195
310,bc1qwlaa0fh33dkue4f320fqcqh9wnrf7mfswxrj4v,"5,119 BTC ($251,078,619) +5119 BTC / +5119 BTC",0.03%,2021-12-27 19:18:35,2021-12-27 19:18:35,1,,,
311,12CEGvJfHFCVGGUBTTA5yUaPHhchBPpuZK,"5,104 BTC ($250,339,531)",0.03%,2020-12-25 13:10:51,2021-11-30 9:33:46,57,2021-01-02 10:06:48,2021-11-23 13:33:00,43
312,1Mq54q43p6iCssCStAQt1gQubPciUfboL2,"5,095 BTC ($249,881,470)",0.03%,2021-08-18 6:00:34,2021-11-29 17:53:10,8,2021-08-25 17:55:43,2021-08-25 17:55:43,1
313,3FAxrWQVgNNUZ4FCjRQgzDbce1vTyonzwC,"5,084 BTC ($249,348,557)",0.03%,2018-10-22 20:18:34,2021-09-16 14:22:30,34,2018-10-22 21:42:39,2021-09-16 14:22:30,10
314,"1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC
wallet: 7507428","5,075 BTC ($248,900,522)",0.03%,2014-02-21 3:04:52,2021-05-29 7:13:09,116,2014-11-08 18:23:04,2014-11-08 18:23:04,6
315,15n6boxiQj45oHcmDjtNMjh35sFWZX4PBt,"5,002 BTC ($245,296,408)",0.03%,2013-12-19 5:52:50,2021-09-24 20:14:37,32,,,
316,31i92LvmPTvBqi1F6wu81Ex1bUMMs143d6 2-of-3,"5,001 BTC ($245,271,161)",0.03%,2019-09-24 17:25:26,2021-05-29 7:13:09,15,2019-09-25 0:35:19,2019-09-25 0:35:19,1
317,1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS,"5,000 BTC ($245,223,079)",0.03%,2011-05-17 16:09:56,2021-05-29 7:13:09,30,,,
318,18xGHNrU26w6HSCEL8DD5o1whfiDaYgp6i,"5,000 BTC ($245,222,687)",0.03%,2013-12-19 5:54:47,2021-05-29 7:13:09,32,,,
319,3JkfTdGnpNhK5xBjP6BzRsitZqnnVjQV1B,"5,000 BTC ($245,222,405)",0.03%,2021-04-01 17:58:50,2021-05-29 7:13:09,4,,,
,,,,,,,,,
320,bc1qlfmc6nv27d62s6zygjnjt6wm28klfh2gltg6ym,"5,000 BTC ($245,222,228) / +5000 BTC",0.03%,2021-12-03 6:04:35,2021-12-03 6:04:35,1,,,
321,1LH1dY82QFtNGinBpCakU5WcTUKRyuztTz,"5,000 BTC ($245,222,216)",0.03%,2020-06-21 11:29:29,2021-05-29 7:13:09,23,2020-06-21 12:53:48,2020-06-21 12:53:48,1
322,16Jka2DrvEGGJ6ks2kXRpxmQZLQmAFRoGk,"5,000 BTC ($245,222,212)",0.03%,2019-05-29 14:54:22,2021-05-29 7:13:09,16,,,
323,19z6WynrjHeD5MMv6919BuQRwybuen1sRv,"5,000 BTC ($245,222,191)",0.03%,2014-04-16 20:07:07,2021-05-29 7:13:09,31,,,
324,1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhR,"5,000 BTC ($245,222,191)",0.03%,2014-04-16 19:53:08,2021-05-29 7:13:09,31,,,
325,14RKFqH45xYPMpW4KQ28RB6XtrZ8XpEM5i,"5,000 BTC ($245,222,191)",0.03%,2013-12-19 5:54:47,2021-05-29 7:13:09,30,,,
326,1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9,"5,000 BTC ($245,222,191)",0.03%,2014-04-16 19:27:15,2021-05-29 7:13:09,30,,,
327,1NJQZhzYac89fDhQCmb1khdjekKNVYLFMY,"5,000 BTC ($245,222,191)",0.03%,2014-04-16 19:45:14,2021-05-29 7:13:09,30,,,
328,bc1q3nkt8j6rphj6ry7jynanqn8j82f9d5fxkan659,"5,000 BTC ($245,222,143) / +5000 BTC",0.03%,2021-11-30 5:15:56,2021-11-30 5:15:56,1,,,
329,12ytiN9oWQTRGb6JjZiaoWMAvF9nPWdGX1,"5,000 BTC ($245,222,120)",0.03%,2017-07-29 5:39:12,2021-05-29 7:13:09,24,,,
330,bc1qdxsg7cfsqrg8sq3cs8ptsafqs6drtyuxswrqga,"5,000 BTC ($245,222,114)",0.03%,2021-04-12 20:49:11,2021-05-29 7:13:09,3,,,
331,3614b2ESvKP4uc6N62AmsRXPMoJXduByUQ,"5,000 BTC ($245,222,101)",0.03%,2021-07-02 22:59:55,2021-07-02 22:59:55,1,,,
332,1LXzGrDQqKqVBqxfGDUyhC6rTRBN5s8Sbj,"5,000 BTC ($245,222,042)",0.03%,2019-11-01 20:09:34,2021-05-29 7:13:09,14,2019-11-02 0:34:32,2020-10-14 15:43:38,3
333,1LQKFmdYrN9egC5grf8Thbcuwwv4sE4RvP,"5,000 BTC ($245,221,976)",0.03%,2019-07-20 0:04:35,2021-05-29 7:13:09,18,,,
334,bc1qhpfj9m5fs5f9gsxswaeqdxsxf9ywcflyhufl9r076h0dlzussyts82dr3r,"5,000 BTC ($245,221,622) +5000 BTC / +5000 BTC",0.03%,2021-12-21 12:15:01,2021-12-21 12:15:01,1,,,
335,3Gwrxf8xyr4CnLBbkjryq5ooL4EdnG1cbb,"5,000 BTC ($245,221,611)",0.03%,2021-07-02 22:25:30,2021-07-02 22:25:30,1,,,
336,32oEtrz9S8KSG2KzN46wrBFHnp4moKBEnX,"5,000 BTC ($245,221,611)",0.03%,2021-07-02 22:25:30,2021-07-02 22:25:30,1,,,
337,1M1WMEzrtYn5SFa7DkixAkaA4AyJ3kYrLY,"5,000 BTC ($245,221,087)",0.03%,2020-03-23 15:53:59,2021-05-29 7:13:09,19,2021-04-28 12:26:26,2021-04-28 12:26:26,1
338,3Kz7riZGm6jACW9sGM7W2QXC9ErmoqDeam,"5,000 BTC ($245,217,301)",0.03%,2021-05-12 12:48:41,2021-05-29 7:13:09,2,,,
339,bc1ql487vawj5fqzstprlxvw84au97wxgpke7kydj223glv4g8e8e5wqadct2k,"4,960 BTC ($243,260,336) / +4960 BTC",0.03%,2021-12-16 17:45:01,2021-12-16 17:45:01,1,,,
340,bc1qnjnvka54n70rc3asl34jfkyw3hwn50n8kz4snm,"4,910 BTC ($240,808,351)",0.03%,2021-09-15 0:14:21,2021-09-15 0:14:21,1,,,
341,13s2ce5YSeVeJbdjCA54r5WykWPYZg3gJH,"4,900 BTC ($240,337,269)",0.03%,2021-09-20 20:28:03,2021-09-20 20:28:03,1,,,
342,1Btud1pqADgGzgBCZzxzc2b1o1ytk1HYWC,"4,900 BTC ($240,317,678)",0.03%,2017-06-13 9:58:25,2021-05-29 7:13:09,24,,,
343,1BXZng4dcXDnYNRXRgHqWjzT5RwxHHBSHo,"4,900 BTC ($240,317,678)",0.03%,2017-06-13 9:58:25,2021-05-29 7:13:09,23,,,
344,1FXHxbZ8HiGDCUrkainA9RKzqfHHkGi1hu,"4,889 BTC ($239,766,954)",0.03%,2020-09-24 15:21:18,2021-08-25 10:57:50,31,2020-09-25 15:36:39,2021-08-25 10:57:50,6
345,1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj,"4,881 BTC ($239,392,781)",0.03%,2013-04-25 3:03:29,2021-05-29 7:13:09,32,,,
346,1Ajasj1TvDsNcTviecd4PpiaamS5N5tVzz,"4,855 BTC ($238,110,873) +4855 BTC / +4855 BTC",0.03%,2021-12-24 17:37:22,2021-12-24 17:47:32,3,,,
347,1FVd6EEQnfq8UPDTzfcCBKZTR4uGGJzbgH,"4,847 BTC ($237,723,225)",0.03%,2020-07-20 22:54:14,2021-05-29 7:13:09,23,,,
348,35j7hbYS9QnKHgdrJF4MozcYwax11J58DT,"4,820 BTC ($236,371,554)",0.03%,2021-02-26 1:13:46,2021-05-29 7:13:09,5,,,
349,17spLhCpZVdQXFz2ZL1aP5gRci6RFVNhrD,"4,817 BTC ($236,246,450)",0.03%,2018-05-17 17:38:09,2021-05-29 7:13:09,23,,,
350,1LhGPB4qCaQvup5xpfoeyzoKwjxUDodmDK,"4,794 BTC ($235,135,386)",0.03%,2021-01-14 0:46:49,2021-12-16 16:55:43,43,2021-01-14 22:22:05,2021-12-16 16:55:43,42
351,1Miy5sJZSamDZN6xcJJidp9zYxhSrpDeJm,"4,792 BTC ($235,020,956)",0.03%,2013-12-21 5:44:50,2021-05-29 7:13:09,32,,,
352,bc1q9w4g79ndel72lygvwtqzem67z6uqv4yncvqjz3yn8my9swnwflxsutg4cx,"4,765 BTC ($233,713,560) / +4765 BTC",0.03%,2021-12-05 8:01:20,2021-12-20 4:00:26,5,2021-12-18 16:10:27,2021-12-18 16:10:27,1
353,bc1qcua0lyx64uwt4zf7glvjp9tlmnhuat2l538z0k,"4,760 BTC ($233,455,709)",0.03%,2021-09-14 8:38:21,2021-09-14 8:38:21,1,,,
354,1AaJfJbaoP553HGpmXvqYwZ9a9q8SE9NgX,"4,755 BTC ($233,196,209)",0.03%,2020-08-26 22:11:49,2021-05-29 7:13:09,15,,,
355,1Fo497ay4yuv3zQoN9hDWTGuNb33ciioR3,"4,750 BTC ($232,961,013)",0.03%,2020-08-26 22:11:49,2021-05-29 7:13:09,14,,,
356,bc1qncsa0qdrgsr58303gsnuwhd5vrm7hlkpd6klmf,"4,741 BTC ($232,537,675)",0.03%,2021-07-27 13:33:41,2021-07-27 14:36:49,3,,,
357,14UeyAD9rQCSJgdJzuzFgShq84gW62Bsat,"4,716 BTC ($231,307,123)",0.02%,2021-02-05 11:39:48,2021-06-25 17:34:27,66,,,
358,147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,"4,716 BTC ($231,307,123)",0.02%,2021-01-03 2:51:23,2021-06-25 17:34:27,57,,,
359,1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,"4,708 BTC ($230,912,838)",0.02%,2021-02-05 12:33:31,2021-06-25 16:56:52,66,,,
360,"3QsGsAXQ4rqRNvh5pEW55hf3F9PEyb7rVq 2-of-3
wallet: 71391609","4,707 BTC ($230,844,668)",0.02%,2019-10-14 13:53:00,2021-12-28 6:16:22,12857,2020-11-30 23:05:08,2020-12-30 16:16:00,716
361,1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,"4,704 BTC ($230,684,706)",0.02%,2021-01-04 21:50:37,2021-06-25 15:57:58,53,,,
362,1Kq6hXXiSpdp9bg9hDDyqm8ZfvgZmzchjn,"4,699 BTC ($230,479,183)",0.02%,2017-10-25 8:51:18,2021-05-29 7:13:09,23,,,
363,19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,"4,696 BTC ($230,333,136)",0.02%,2021-02-03 16:20:39,2021-06-25 15:48:18,71,,,
364,1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk,"4,696 BTC ($230,333,136)",0.02%,2021-01-31 20:04:07,2021-06-25 15:48:18,62,,,
365,1JCozFUFS5TBAAbnrr9jRWDVQURo2kGeRq,"4,687 BTC ($229,873,781)",0.02%,2021-01-27 19:48:47,2021-06-25 15:05:56,52,,,
366,18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,"4,687 BTC ($229,873,781)",0.02%,2021-01-15 2:30:13,2021-06-25 15:01:35,49,,,
367,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,"4,687 BTC ($229,873,781)",0.02%,2021-01-15 2:17:51,2021-06-25 15:01:35,52,,,
368,1NSbFq6rCeSC1p2EBrov5R1uUTFRBu8tcs,"4,687 BTC ($229,873,781)",0.02%,2021-01-19 2:12:25,2021-06-25 15:01:35,50,,,
369,16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,"4,687 BTC ($229,873,781)",0.02%,2021-01-15 2:30:13,2021-06-25 15:01:35,49,,,
370,18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,"4,687 BTC ($229,873,781)",0.02%,2021-01-04 22:01:57,2021-06-25 15:01:35,55,,,
371,1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,"4,687 BTC ($229,873,781)",0.02%,2021-01-19 2:12:25,2021-06-25 15:01:35,52,,,
372,1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,"4,687 BTC ($229,873,781)",0.02%,2021-01-15 2:30:13,2021-06-25 15:01:35,49,,,
373,1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,"4,664 BTC ($228,736,503)",0.02%,2021-02-04 18:39:41,2021-06-25 16:26:10,69,,,
374,1MJZLeLbsoSf2kuDr5gAX3QE93BvhvqkCC,"4,651 BTC ($228,128,295)",0.02%,2021-01-20 6:51:48,2021-06-25 15:01:35,58,,,
375,1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,"4,644 BTC ($227,769,475)",0.02%,2021-02-03 23:09:51,2021-06-25 15:57:58,71,,,
376,3CG73de45sR9cYLFAkzF6peRai1Q44R923 4-of-8,"4,634 BTC ($227,250,105)",0.02%,2019-12-05 17:33:02,2021-12-08 17:55:14,23,2020-08-26 20:21:54,2020-08-26 20:21:54,1
377,3L9hddHJMnpE1qzofQ2TSvMiiMf5ejX1Yw,"4,610 BTC ($226,080,203)",0.02%,2019-05-09 4:42:42,2021-05-29 7:13:09,21,2019-05-09 9:37:02,2019-07-08 16:56:59,3
378,3Pv6S8ZEcQLmXigA694aUZhVmnLUjNzxcc,"4,600 BTC ($225,604,349)",0.02%,2019-07-11 19:44:14,2021-05-29 7:13:09,16,,,
379,33ZNiyx5Z5CMkULX7ENvcKKxFNCzGJv5vQ 2-of-2,"4,585 BTC ($224,878,670)",0.02%,2018-07-06 12:17:44,2021-10-02 10:38:22,43,2020-02-19 10:14:49,2021-06-10 10:33:56,27
380,18VmXvkF4cgLi35RtMiHHDpvMjUCyVpQ9x,"4,582 BTC ($224,718,963)",0.02%,2020-03-03 2:55:40,2021-05-29 7:13:09,15,,,
381,"1zgmvYi5x1wy3hUh7AjKgpcVgpA8Lj9FA
wallet: 39102749","4,577 BTC ($224,452,508)",0.02%,2018-04-03 15:28:45,2021-12-28 8:26:28,61221,2018-05-18 17:59:47,2021-12-28 8:26:28,60652
382,1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,"4,575 BTC ($224,368,076)",0.02%,2021-02-05 12:33:31,2021-06-25 17:34:27,67,,,
383,16aEn4p6hK4FMpLtJGpoQZMZ946sDg1Z6n,"4,503 BTC ($220,859,726)",0.02%,2016-03-06 9:03:46,2021-05-29 7:13:09,27,,,
384,bc1q4xq9m2fd30nxd6n6rkhstd3qxd3a33573afy6y,"4,500 BTC ($220,700,189)",0.02%,2019-08-05 12:03:00,2021-05-29 7:13:09,17,,,
385,bc1quchdh8qk9wx40agh5ywnkrwsdqstlcp80aw6ey,"4,500 BTC ($220,699,904)",0.02%,2019-08-04 18:00:57,2021-05-29 7:13:09,17,,,
386,3Lbq2WhmgnFiuPpasWqD8CrTo4X9cubreT,"4,500 BTC ($220,699,902)",0.02%,2021-08-20 7:27:23,2021-09-12 18:01:56,10,,,
387,bc1qezn9rjetad3k9mcd9zzhmv56ypjz7qv0tssn07,"4,500 BTC ($220,699,902)",0.02%,2019-08-05 5:05:01,2021-05-29 7:13:09,16,,,
388,bc1qsnd6zut5n59cfha2vynepgxh7ppq4rcfsu09za,"4,500 BTC ($220,699,901)",0.02%,2019-08-06 3:34:07,2021-05-29 7:13:09,15,,,
389,bc1qhvfd4368afv89qdncra8l9r0g35y7jwflwe056,"4,500 BTC ($220,699,901)",0.02%,2019-08-04 13:30:03,2021-06-09 4:35:57,16,,,
390,bc1qyf240gfzmgmwemxhrwnep5fe4z3a067vy3mr36,"4,500 BTC ($220,699,901)",0.02%,2019-08-05 8:56:52,2021-05-29 7:13:09,15,,,
391,bc1quffts3c992h6jjur98pwn3ga7jerj4ljee26ss,"4,500 BTC ($220,699,901)",0.02%,2019-08-06 7:09:50,2021-05-29 7:13:09,14,,,
392,bc1qfkdljt8e3hqqk43nz7wsl4usrylsp4rl5d62p4,"4,500 BTC ($220,699,859)",0.02%,2020-12-28 20:43:53,2021-05-29 7:13:09,8,,,
393,bc1qxhkn652vt72zy9n2s3mkv2dk5y7ny7dmt02lr4,"4,500 BTC ($220,699,858)",0.02%,2020-12-28 20:43:53,2021-05-29 7:13:09,8,,,
394,"3ANziRvoBdNGkmGopgyhvzPuBvcL8sRL7S
wallet: OKEX-coldwallet","4,494 BTC ($220,389,031)",0.02%,2020-12-21 17:00:12,2021-12-21 0:58:00,13,2020-12-22 1:01:15,2021-12-21 0:58:00,3
395,1MLiPwYjNACQHREFKwGtkPpWgd8PqpbuQ4,"4,487 BTC ($220,055,411)",0.02%,2017-06-13 9:58:25,2021-05-29 7:13:09,28,,,
396,15n6GcFRFm3287FotAWunZe58D9yXx13AB,"4,449 BTC ($218,212,628)",0.02%,2021-02-25 3:45:55,2021-07-11 19:32:53,74,,,
397,1Cm9ugUjEUyMvjB3uWxESapa861uEtcVyc,"4,449 BTC ($218,212,628)",0.02%,2021-02-23 23:25:49,2021-07-11 19:32:53,76,,,
398,1G6KK2j1C7DAsPmQ6joZpAY4gN84z5Te4E,"4,449 BTC ($218,212,628)",0.02%,2021-02-25 3:45:55,2021-07-11 19:32:53,73,,,
399,1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,"4,449 BTC ($218,212,628)",0.02%,2021-02-25 5:01:02,2021-07-11 19:32:53,73,,,
400,1ZK5rrghS3Uhnra64LiuZVupa6WTSuPfF,"4,449 BTC ($218,212,628)",0.02%,2021-02-24 11:07:34,2021-07-11 19:32:53,76,,,
401,1D387jd5ZuvudpUQrSv8vK5b2M1SBnvdY8,"4,449 BTC ($218,212,628)",0.02%,2021-02-23 10:06:11,2021-07-11 19:32:53,72,,,
402,1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,"4,449 BTC ($218,212,628)",0.02%,2021-02-22 7:17:28,2021-07-11 19:32:53,75,,,
403,1GuLYGgr9FZwCBBQfDmMiJfTF4cvyrJSeu,"4,449 BTC ($218,212,628)",0.02%,2021-02-19 20:18:29,2021-07-11 19:32:53,78,,,
404,15SGg7PpcJ7bMhENw4gc3Qp4LT6c5uLGza,"4,449 BTC ($218,212,628)",0.02%,2021-02-22 17:45:59,2021-07-11 19:32:53,76,,,
405,152BK6BQa672Dy8PHf4JQtS27pBRBiYy6e,"4,449 BTC ($218,212,628)",0.02%,2021-02-20 19:04:41,2021-07-11 19:32:53,84,,,
406,1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,"4,449 BTC ($218,212,628)",0.02%,2021-02-17 22:22:10,2021-07-11 19:32:53,77,,,
407,154sxXJekWHQ5nPxkkaWnMghy4o9qWaNdU,"4,449 BTC ($218,212,628)",0.02%,2021-02-22 7:27:25,2021-07-11 19:32:53,78,,,
408,1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,"4,449 BTC ($218,212,628)",0.02%,2021-02-20 2:01:18,2021-07-11 19:32:53,78,,,
409,1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,"4,449 BTC ($218,212,628)",0.02%,2021-02-09 1:28:24,2021-07-11 19:32:53,76,,,
410,12GQSEPmoCiw7zrWJbsYa5SD3hkKPSzyAq,"4,449 BTC ($218,212,627)",0.02%,2021-02-23 11:21:34,2021-06-19 18:56:38,74,,,
411,1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqM,"4,449 BTC ($218,212,627)",0.02%,2021-02-17 5:51:00,2021-06-19 18:56:38,79,,,
412,1EF3T11bL7yua2yJo4waaQ3RgewNwRnKMw,"4,449 BTC ($218,212,627)",0.02%,2021-02-05 14:25:02,2021-06-19 17:40:35,67,,,
413,1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,"4,421 BTC ($216,809,509)",0.02%,2021-02-25 5:07:35,2021-07-11 19:32:53,73,,,
414,1Fva9692TyammJAT2R4dLPtSrjJ4hjffCD,"4,375 BTC ($214,569,350)",0.02%,2021-10-20 21:15:02,2021-12-13 22:37:12,21,,,
415,"1DusaaJVM9VJTgQYiZE9pd3DZCxXoMncCE
wallet: 74235263","4,358 BTC ($213,734,842)",0.02%,2021-01-08 21:49:27,2021-09-25 1:44:40,29,2021-01-22 2:56:31,2021-12-21 5:49:45,14
416,1FbVRtAhYSR47dqvRjUGaxkGiKK2RPpyNX,"4,352 BTC ($213,447,241)",0.02%,2021-11-25 3:08:13,2021-11-25 3:17:28,2,,,
417,1sswvtzmd9nXbEFDawYPwm8UEdzjbZvpv,"4,351 BTC ($213,372,485)",0.02%,2020-09-19 8:18:57,2021-05-29 7:13:09,12,,,
418,34MSicAL7qVGkevFPLwyc9KohGzoUSnu3Q,"4,350 BTC ($213,343,243)",0.02%,2020-10-09 23:08:16,2021-12-16 13:58:56,65,2021-02-12 23:30:32,2021-07-27 17:05:37,41
419,18Hp8j2JMvwtPs1eqNaYEEVvuFpjQJRFVY,"4,333 BTC ($212,509,581)",0.02%,2011-08-08 13:20:12,2021-12-24 17:58:24,36,,,
,,,,,,,,,
420,3A9qNS69dngSU2ak8BwZKEExeVnL2RqpYJ,"4,325 BTC ($212,117,619)",0.02%,2020-12-16 16:22:05,2021-11-30 14:20:21,21,,,
421,16eb495TbiCRbRbZv4WBdaUvNGxUYJ4jed,"4,322 BTC ($211,986,268)",0.02%,2011-08-08 13:20:12,2021-05-29 7:13:09,34,,,
