number,address,balance,perct_coins,first_in,last_in,ins,first_out,last_out,outs
69,"35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6 2-of-3
wallet: 69400086","11,055 BTC ($542,194,712) -905.18 BTC / -7364 BTC",0.06%,2020-06-08 17:39:51,2021-12-27 20:13:03,418,2020-06-16 16:15:16,2021-12-23 20:29:47,298
70,"bc1qqn4q5yv7feltnsfwzxwm3fluryqqzhhp6457h6m4ytq7mauxlxgq872p5f
wallet: 74771965","10,807 BTC ($530,022,538)",0.06%,2021-01-13 13:12:52,2021-11-22 21:09:48,54,2021-03-25 22:28:25,2021-11-22 21:09:48,53
71,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,"10,771 BTC ($528,234,657)",0.06%,2011-08-09 0:14:47,2021-11-20 6:51:33,92,,,
72,36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXS 2-of-5,"10,500 BTC ($514,988,433)",0.06%,2018-09-25 19:16:55,2021-11-18 18:14:52,29,2018-09-25 19:16:55,2018-09-25 19:16:55,1
73,bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302,"10,500 BTC ($514,966,396)",0.06%,2020-12-28 20:43:53,2021-11-16 20:17:04,11,,,
74,bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,"10,297 BTC ($504,986,613)",0.05%,2021-03-11 15:37:20,2021-12-14 21:52:19,5,2021-04-01 9:16:15,2021-04-01 9:16:15,1
75,bc1qzrwk3e2xuy4at060ucv3y0lldxk9gaqd6zmjn6,"10,158 BTC ($498,170,817) +10158 BTC / +10158 BTC",0.05%,2021-12-27 19:18:35,2021-12-27 19:18:35,1,,,
76,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,"10,009 BTC ($490,898,513)",0.05%,2011-05-04 4:10:49,2021-06-25 4:29:38,69,,,
77,bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,"10,002 BTC ($490,529,601)",0.05%,2021-08-14 6:37:58,2021-08-14 6:37:58,1,,,
78,bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj,"10,001 BTC ($490,493,272)",0.05%,2021-11-12 13:19:27,2021-11-12 14:40:40,2,,,
79,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,"10,000 BTC ($490,448,024)",0.05%,2011-05-04 4:01:23,2021-03-25 17:07:04,41,,,
80,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,"10,000 BTC ($490,445,921)",0.05%,2011-05-04 3:40:51,2021-10-18 22:56:40,51,,,
81,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,"10,000 BTC ($490,445,459)",0.05%,2017-10-17 1:18:28,2021-05-30 0:45:29,40,,,
82,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,"10,000 BTC ($490,445,025)",0.05%,2011-04-03 0:18:45,2020-08-19 2:16:08,62,,,
